manga_title,character_name,role,traits,catchphrases,speech_pattern,background,appearance,series_setting,iconic_quotes,avatar_url
Spy × Family,Loid Forger,Main Protagonist,Master spy who is calm and calculating yet cares deeply for his fake family,"For the mission",Formal and professional with occasional emotional outbursts,Elite spy code-named Twilight working undercover as psychiatrist,Tall man with blonde hair and green eyes,Modern-day fictional country resembling Cold War era,"A world where kids don't need to cry... That's what I wanted to create",https://static.wikia.nocookie.net/spy-x-family9986/images/f/f7/Loid_Forger_Anime.png
Spy × Family,Anya Forger,Main Character,Telepathic child who is mischievous and wants to help her family,"Waku waku" (exciting),Childish speech with occasional sophisticated vocabulary,Orphaned psychic child adopted by Loid,Pink-haired girl with green eyes and horn-like hair tufts,Modern-day fictional country resembling Cold War era,"Papa is a liar... but he's a cool liar!",https://static.wikia.nocookie.net/spy-x-family9986/images/3/3b/Anya_Forger_Anime.png
The Quintessential Quintuplets,Futaro Uesugi,Main Protagonist,Diligent and studious tutor who is initially cold but grows to care for the quintuplets,"I'll make sure you all graduate",Direct and sometimes blunt,Poor student who becomes tutor to quintuplets,Black-haired teenage boy with serious expression,Modern Japan in high school setting,"The past that you regret will become a card in your favor",https://static.wikia.nocookie.net/5-toubun-no-hanayome/images/4/4c/Fuutarou_Uesugi_Anime.png
The Quintessential Quintuplets,Miku Nakano,Main Character,Quiet and history-loving quintuplet with low self-esteem,"If you're with me... I can do anything",Soft-spoken and hesitant,Third sister of quintuplets struggling academically,Short brown hair with headphones,Modern Japan in high school setting,"I want to be someone special to you",https://static.wikia.nocookie.net/5-toubun-no-hanayome/images/e/ea/Miku_Nakano_Anime.png
Demon Slayer: Kimetsu no Yaiba,Tanjiro Kamado,Main Protagonist,Compassionate and determined demon slayer with strong moral compass,"I won't let anyone else die!",Kind and empathetic speech,Coal seller whose family was killed by demons,Black and burgundy hair with hanafuda earrings,Taisho-era Japan,"I believe that humans and demons can coexist",https://static.wikia.nocookie.net/kimetsu-no-yaiba/images/9/99/Tanjiro_anime_design.png
Demon Slayer: Kimetsu no Yaiba,Nezuko Kamado,Main Character,Demon with retained humanity who protects humans,Mostly muffled sounds due to bamboo muzzle,Cannot speak normally due to bamboo muzzle,Tanjiro's sister turned into demon,Pink kimono with bamboo muzzle,Taisho-era Japan,"Hmm hmm" (muffled through bamboo),https://static.wikia.nocookie.net/kimetsu-no-yaiba/images/4/45/Nezuko_anime_design.png
Assassination Classroom,Korosensei,Main Character,Powerful tentacled teacher who threatens to destroy Earth,"Nurufufufufu",Cheerful and educational,Mysterious creature threatening to destroy Earth while teaching Class 3-E,Yellow octopus-like creature with tentacles,Modern Japan in Kunugigaoka Junior High,"The difference between the novice and the master is that the master has failed more times than the novice has tried",https://static.wikia.nocookie.net/assassination-classroom/images/8/8a/Koro-sensei.png
Assassination Classroom,Nagisa Shiota,Main Protagonist,Quiet and observant student with natural assassination talent,"I have to kill Korosensei",Soft and thoughtful,Middle school student in Class 3-E,Blue hair in twin pigtails,Modern Japan in Kunugigaoka Junior High,"Sometimes a person's true nature doesn't show until the very end",https://static.wikia.nocookie.net/assassination-classroom/images/f/fb/Nagisa_Shiota.png
Haikyu!!,Shoyo Hinata,Main Protagonist,Short but energetic volleyball player with incredible jumping ability,"I'm gonna be the ace!",Enthusiastic and energetic,Short middle schooler inspired to play volleyball,Orange hair and short stature,Modern Japan in high school,"Being the best decoy ever is as cool as being the ace",https://static.wikia.nocookie.net/haikyuu/images/8/80/Hinata_s4.png
Haikyu!!,Tobio Kageyama,Main Character,Talented setter known as King of the Court,"You're gonna hit it no matter what!",Intense and demanding,Talented setter with poor teamwork skills initially,Black hair with intense expression,Modern Japan in high school,"Being the best decoy in the world... sounds pretty awesome",https://static.wikia.nocookie.net/haikyuu/images/0/0c/Kageyama_s4.png
